clusters	colors
TRINITY_DN190_c0_g1	1	#00FF66FF
TRINITY_DN11_c0_g1	2	#0D00FFFF
TRINITY_DN232_c0_g1	1	#00FF66FF
TRINITY_DN129_c0_g1	1	#00FF66FF
TRINITY_DN111_c0_g6	2	#0D00FFFF
TRINITY_DN10_c0_g1	2	#0D00FFFF
TRINITY_DN99_c0_g2	3	#FF004DFF
TRINITY_DN225_c0_g1	2	#0D00FFFF
TRINITY_DN24_c0_g1	2	#0D00FFFF
TRINITY_DN0_c0_g2	2	#0D00FFFF
TRINITY_DN182_c0_g1	1	#00FF66FF
TRINITY_DN231_c0_g1	3	#FF004DFF
TRINITY_DN77_c0_g1	2	#0D00FFFF
TRINITY_DN211_c0_g1	2	#0D00FFFF
TRINITY_DN67_c0_g2	3	#FF004DFF
TRINITY_DN220_c0_g1	1	#00FF66FF
TRINITY_DN14_c0_g1	2	#0D00FFFF
TRINITY_DN0_c0_g1	2	#0D00FFFF
TRINITY_DN223_c0_g1	1	#00FF66FF
TRINITY_DN13_c0_g2	2	#0D00FFFF
TRINITY_DN6_c0_g1	1	#00FF66FF
TRINITY_DN119_c0_g1	3	#FF004DFF
TRINITY_DN235_c0_g1	1	#00FF66FF
TRINITY_DN113_c0_g1	3	#FF004DFF
TRINITY_DN73_c0_g1	3	#FF004DFF
TRINITY_DN158_c0_g1	3	#FF004DFF
TRINITY_DN155_c0_g1	3	#FF004DFF
TRINITY_DN1_c0_g1	3	#FF004DFF
TRINITY_DN210_c0_g1	3	#FF004DFF
TRINITY_DN168_c0_g1	1	#00FF66FF
TRINITY_DN230_c0_g1	1	#00FF66FF
TRINITY_DN106_c0_g2	3	#FF004DFF
TRINITY_DN236_c0_g1	1	#00FF66FF
TRINITY_DN5_c0_g1	3	#FF004DFF
TRINITY_DN27_c0_g1	2	#0D00FFFF
TRINITY_DN164_c0_g1	3	#FF004DFF
TRINITY_DN4_c0_g1	1	#00FF66FF
TRINITY_DN245_c0_g1	2	#0D00FFFF
TRINITY_DN203_c0_g1	1	#00FF66FF
TRINITY_DN239_c0_g1	1	#00FF66FF
TRINITY_DN37_c0_g1	1	#00FF66FF
TRINITY_DN219_c0_g1	1	#00FF66FF
TRINITY_DN180_c0_g1	2	#0D00FFFF
