sp_log	sp_plat
TRINITY_DN190_c0_g1	-2.93284883742983	2.93284883742983
TRINITY_DN11_c0_g1	-2.28460112716175	2.28460112716175
TRINITY_DN232_c0_g1	-2.87988941385838	2.87988941385838
TRINITY_DN129_c0_g1	-3.46715394022699	3.46715394022699
TRINITY_DN111_c0_g6	-1.60494138172838	1.60494138172838
TRINITY_DN10_c0_g1	-1.62700858629197	1.62700858629197
TRINITY_DN99_c0_g2	1.77621112908021	-1.77621112908021
TRINITY_DN225_c0_g1	-1.4506386746978	1.4506386746978
TRINITY_DN24_c0_g1	-2.1687993636694	2.16879936366939
TRINITY_DN0_c0_g2	-2.5877507116768	2.5877507116768
TRINITY_DN182_c0_g1	-3.04279242157052	3.04279242157052
TRINITY_DN231_c0_g1	2.12579500752753	-2.12579500752753
TRINITY_DN77_c0_g1	-2.70223478211508	2.70223478211508
TRINITY_DN211_c0_g1	-1.8361505624726	1.8361505624726
TRINITY_DN67_c0_g2	1.57128494470919	-1.57128494470919
TRINITY_DN220_c0_g1	-3.64469822741574	3.64469822741574
TRINITY_DN14_c0_g1	-1.91120656857557	1.91120656857557
TRINITY_DN0_c0_g1	-1.60747791624733	1.60747791624733
TRINITY_DN223_c0_g1	-2.81456722715883	2.81456722715883
TRINITY_DN13_c0_g2	-1.92152806337069	1.92152806337069
TRINITY_DN6_c0_g1	-3.22911003192489	3.22911003192489
TRINITY_DN119_c0_g1	3.64258861833818	-3.64258861833818
TRINITY_DN235_c0_g1	-3.72235421697446	3.72235421697446
TRINITY_DN113_c0_g1	1.67108052034728	-1.67108052034728
TRINITY_DN73_c0_g1	1.57150766896725	-1.57150766896725
TRINITY_DN158_c0_g1	1.70847395025804	-1.70847395025804
TRINITY_DN155_c0_g1	1.83691543368115	-1.83691543368115
TRINITY_DN1_c0_g1	1.89791602234195	-1.89791602234196
TRINITY_DN210_c0_g1	2.74730636549672	-2.74730636549672
TRINITY_DN168_c0_g1	-3.78532942690504	3.78532942690504
TRINITY_DN230_c0_g1	-3.65734001348814	3.65734001348814
TRINITY_DN106_c0_g2	1.47796316968416	-1.47796316968416
TRINITY_DN236_c0_g1	-3.04338036279406	3.04338036279406
TRINITY_DN5_c0_g1	2.86168706042886	-2.86168706042886
TRINITY_DN27_c0_g1	-1.88304389592734	1.88304389592734
TRINITY_DN164_c0_g1	1.5808657508903	-1.5808657508903
TRINITY_DN4_c0_g1	-2.81907889222033	2.81907889222033
TRINITY_DN245_c0_g1	-2.24412507954662	2.24412507954662
TRINITY_DN203_c0_g1	-4.72226284475135	4.72226284475135
TRINITY_DN239_c0_g1	-4.23731223292531	4.23731223292531
TRINITY_DN37_c0_g1	-3.56950940804281	3.56950940804281
TRINITY_DN219_c0_g1	-2.99131401491358	2.99131401491358
TRINITY_DN180_c0_g1	-1.78562345032113	1.78562345032114
