UniqueCount	AmbigCount
6	0
108	0
840	58
220	58
0	73
14	73
24	0
134	0
0	1
4	1
25	0
217	0
52	31
0	31
96	0
42	0
57	0
220	0
33	0
46	0
21	3
4	3
64	3
18	0
110	0
58	0
8	0
144	0
50	0
130	0
24	0
67	0
9	0
70	0
3	10
0	5
23	1
8	6
271	0
22	3
25	3
294	0
29	0
29	4
74	4
13	0
30	0
5	2
12	2
15	8
36	8
6	1
27	1
6	5
30	5
9	0
33	0
10	0
15	0
12	7
43	7
10	10
36	10
15	6
9	13
4	7
14	6
113	6
22	0
8413	1
74	1
10	1
9	1
12	5
528	5
16	11
29	6
105	5
5	4
55	4
36	0
72	0
81	0
49	0
18	0
12	0
10	0
11	9
9	9
2	3
4	4
16	7
23	0
38	7
10	0
20	0
62	3
7	3
18	3
92	0
54	5
68	3
232	1
105	0
0	0
60	0
36	0
3	12
9	8
13	5
21	6
5	6
4	1
12	12
7	1
8	0
31	1
3	276
35	276
7	1
4	6
7	3
3	9
28	5
16	0
6	2
1	2
10	0
5	0
0	51
0	160
0	93
0	221
115	0
2	5
22	1
7	0
5	4
15	0
26	0
100	0
33	0
5	5
12	10
29	5
17	0
23	9
49	9
16	0
145	0
21	0
3	6
31	6
23	0
5	0
5	2
1	7
14	8
1	3
4	10
36	5
107	5
18	0
35	0
34	1
5	2
11	1
25	42
1	42
5	5
6	6
9	8
4	5
5	2
6	0
17	0
2	4
5	3
3	5
5	6
2	3
14	3
4	0
8	0
8	7
5	7
2	0
0	2
11	2
6	0
1	3
1	0
16	8
714	5
1	0
1	0
1	1
10	1
6	6
5	2
12	4
6	1
39	1
12	0
18	0
15	1
40	1
199	0
710	0
16	0
3	0
3	0
7	0
29	0
4	0
7	0
4	0
16	0
18	0
13	0
3	0
3	0
8	0
5	11
28	5
12	6
3	0
5	0
28	0
156	0
14	0
4	2
2	3
44	1
6	1
20	1
5	4
14	4
16	0
5	0
7	0
15	14
15	5
14	3
2	9
3	0
14	6
6	6
2	1
3	0
10	1
8	0
44	0
94	0
7	0
73	2
19	2
3	3
76	0
1188	0
107	0
2098	0
898	0
10	0
415	0
57	0
33	0
60	0
154	0
7	3
23	6
0	6
4	21
658	0
248	0
16	1
90	0
47	0
357	0
305	0
0	13
72	0
3	16
0	2
54	0
32	0
64	0
140	0
0	9
56	0
213	0
175	0
167	0
5	4
32	0
30	0
155	0
0	15
4	0
45	0
46	0
1151	0
33	0
41	0
166	0
5200	0
0	1
24	0
56	0
5	8
0	8
9	1
0	1
430	0
50	17
42	0
14	16
48	0
53	0
11	6
113	0
54	0
15	7
0	6
5	1
146	0
115	0
654	0
20	0
113	0
59	1
64	0
3	0
77	0
3	20
11	0
15	6
8	0
10	6
0	4
3	8
0	6
