UniqueCount	AmbigCount
62	6
4443	6
46	6
40	6
38	849
64	849
652	0
215	0
1	31
70	31
405	0
251	0
29	10
0	10
35	0
314	0
38	0
262	0
16	0
250	0
44	13
6	9
129	9
416	0
109	0
17	0
125	0
28	0
30	0
161	0
58	0
86	0
15	0
192	0
9	11
7	6
21	1
5	6
328	0
33	2
42	2
424	0
4669	0
54	9
186	9
18	0
1708	0
5	11
19	11
15	5
29	5
10	0
19	0
11	8
48	8
10	0
23	0
17	0
14	0
10	1
29	1
6	1
18	1
2	1
2	4
2	3
4	3
48	3
35	0
181	0
123	0
38	4
58	4
9	6
193	7
8	8
12	5
46	3
4	5
61	5
40	0
252	0
233	0
196	0
177	0
1216	0
9	0
13	13
9	13
6	8
11	8
6	2
6	1
13	1
13	0
34	0
89	13
4	1
2	1
59	0
74	12
67	4
1263	0
77	0
1	9
166	9
56	0
1	2
3	5
7	4
5	4
7	3
1	1
7	3
9	2
7	0
36	2
5	404
46	404
3	0
1	8
3	5
1	4
22	1
775	0
14	2
8	2
12	3
8	3
0	50
0	261
0	140
0	372
23	0
1	7
19	3
9	0
13	4
56	0
15	0
153	0
22	0
6	4
15	7
11	3
12	0
9	6
17	6
14	0
114	0
30	0
9	1
34	1
11	0
17	0
7	6
5	5
12	6
4	7
2	0
13	0
26	0
18	0
58	5
56	5
19	4
15	4
25	31
1	31
3	2
1	0
0	0
1	2
0	0
6	0
7	0
0	3
1	3
2	1
6	1
2	1
13	1
8	0
8	0
2	1
1	1
4	6
8	16
43	11
5	0
3	16
2	14
11	10
529	5
2	8
8	4
3	5
16	5
1	0
7	0
4	0
8	1
54	1
8	0
29	0
14	1
24	1
53	0
5	0
12	0
10	1
6	0
9	0
29	0
5	1
17	1
7	0
22	0
13	0
1829	0
5	0
5	0
5	0
1	2
22	1
12	1
6	0
12	0
25	0
34	0
15	0
8	1
1	1
32	0
11	2
22	2
3	7
1	2
5	0
7	0
14	0
7	11
4	2
4	2
2	0
3	0
7	1
5	1
8	6
7	4
7	2
1	0
29	0
10	0
3	0
41	1
11	1
0	3
82	0
151	0
118	0
820	0
266	0
2182	0
1192	0
400	0
50	0
47	0
96	0
12	3
14	0
0	11
3	18
363	0
205	0
218	16
110	0
3641	0
262	0
63	0
3	13
86	0
1	925
0	8
209	0
2136	0
78	0
145	0
0	3
158	0
857	0
328	0
56	0
1	2
10	0
81	0
89	0
0	14
3239	0
136	0
188	0
469	0
55	0
133	0
451	0
131	0
0	16
53	0
210	0
31	30
2	30
8	7
6	35
108	0
41	16
3033	0
2916	925
96	0
89	0
610	184
15	0
460	0
13	0
0	11
21	5
96	0
20882	0
39	0
1239	0
148	0
408	35
12744	0
241	0
151	0
11	18
4489	0
39	11
10	0
3	0
0	6
4	4
0	184
